FIPS,State Name,State,2013 Food Insecurity Rate,# of Food Insecure Persons in 2013 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2013 Child Food Insecurity Rate,# of Food Insecure Children in 2013,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2013,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2013,2013 Cost Per Meal,2013 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.80%,"908,770",130%,SNAP,185%,Other Nutrition Program,53.90%,17.70%,28.40%,26.20%,"294,060",76%,24%,$2.76 ,"$444,265,000 "
2,Alaska,AK,14.20%,"104,750",130%,SNAP,185%,Other Nutrition Program,41.10%,19.20%,39.70%,20.00%,"37,590",60%,40%,$3.19 ,"$59,107,000 "
4,Arizona,AZ,17.50%,"1,161,390",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.40%,0.00%,30.60%,28.00%,"454,460",72%,28%,$2.73 ,"$561,993,000 "
5,Arkansas,AR,19.70%,"584,270",130%,SNAP,185%,Other Nutrition Program,55.80%,16.70%,27.50%,28.40%,"201,820",76%,24%,$2.65 ,"$273,570,000 "
6,California,CA,15.00%,"5,731,740",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.10%,0.00%,21.90%,25.10%,"2,316,570",71%,29%,$2.99 ,"$3,037,087,000 "
8,Colorado,CO,13.90%,"733,080",130%,SNAP,185%,Other Nutrition Program,49.10%,16.40%,34.50%,20.60%,"253,000",65%,35%,$2.98 ,"$386,399,000 "
9,Connecticut,CT,13.60%,"488,350",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.60%,0.00%,45.40%,19.00%,"152,990",59%,41%,$2.93 ,"$253,481,000 "
10,Delaware,DE,13.20%,"122,310",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.20%,0.00%,33.80%,19.40%,"39,780",71%,29%,$2.90 ,"$62,711,000 "
11,District of Columbia,DC,15.00%,"96,940",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.40%,0.00%,26.60%,30.50%,"32,100",70%,30%,$3.51 ,"$60,267,000 "
12,Florida,FL,17.00%,"3,315,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.30%,0.00%,26.70%,26.70%,"1,071,760",70%,30%,$2.92 ,"$1,714,988,000 "
13,Georgia,GA,18.70%,"1,871,790",130%,SNAP,185%,Other Nutrition Program,55.60%,16.60%,27.80%,28.20%,"700,870",73%,27%,$2.75 ,"$910,560,000 "
15,Hawaii,HI,13.80%,"193,940",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.70%,0.00%,42.30%,22.40%,"68,450",50%,50%,$2.99 ,"$102,567,000 "
16,Idaho,ID,15.60%,"250,830",130%,SNAP,185%,Other Nutrition Program,50.10%,20.10%,29.80%,21.10%,"90,240",72%,28%,$2.78 ,"$123,492,000 "
17,Illinois,IL,13.60%,"1,755,180",130%,SNAP,185%,Other Nutrition Program,52.40%,15.40%,32.10%,20.80%,"643,040",69%,31%,$2.54 ,"$787,542,000 "
18,Indiana,IN,15.40%,"1,012,970",130%,SNAP,185%,Other Nutrition Program,56.10%,15.00%,28.90%,21.80%,"348,570",73%,27%,$2.46 ,"$440,889,000 "
19,Iowa,IA,12.60%,"389,250",160%,SNAP,185%,Other Nutrition Program,52.30%,8.10%,39.50%,19.30%,"139,850",59%,41%,$2.51 ,"$173,068,000 "
20,Kansas,KS,14.50%,"419,330",130%,SNAP,185%,Other Nutrition Program,49.40%,15.70%,34.90%,22.30%,"161,740",67%,33%,$2.68 ,"$198,903,000 "
21,Kentucky,KY,16.40%,"722,330",130%,SNAP,185%,Other Nutrition Program,57.90%,13.30%,28.70%,21.70%,"221,780",75%,25%,$2.54 ,"$324,612,000 "
22,Louisiana,LA,16.80%,"777,650",130%,SNAP,185%,Other Nutrition Program,58.40%,13.40%,28.30%,24.30%,"271,500",72%,28%,$2.73 ,"$376,268,000 "
23,Maine,ME,15.50%,"206,090",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.00%,0.00%,35.00%,22.70%,"61,080",69%,31%,$3.12 ,"$113,989,000 "
24,Maryland,MD,12.80%,"757,430",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.40%,0.00%,40.60%,19.10%,"258,110",58%,42%,$2.92 ,"$391,669,000 "
25,Massachusetts,MA,11.50%,"767,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.10%,0.00%,35.90%,16.50%,"232,150",64%,36%,$3.05 ,"$414,876,000 "
26,Michigan,MI,16.40%,"1,623,410",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.90%,0.00%,26.10%,20.90%,"480,490",70%,30%,$2.57 ,"$737,256,000 "
27,Minnesota,MN,10.60%,"572,760",165%,SNAP,185%,Other Nutrition Program,59.00%,5.80%,35.20%,16.00%,"205,050",67%,33%,$2.74 ,"$277,568,000 "
28,Mississippi,MS,22.70%,"679,750",130%,SNAP,185%,Other Nutrition Program,59.80%,15.00%,25.20%,29.00%,"217,220",75%,25%,$2.79 ,"$335,570,000 "
29,Missouri,MO,17.00%,"1,030,030",130%,SNAP,185%,Other Nutrition Program,51.70%,17.50%,30.80%,21.60%,"304,810",69%,31%,$2.60 ,"$474,080,000 "
30,Montana,MT,14.20%,"144,440",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.90%,0.00%,33.10%,22.10%,"49,300",64%,36%,$2.73 ,"$69,699,000 "
31,Nebraska,NE,13.20%,"246,960",130%,SNAP,185%,Other Nutrition Program,46.20%,14.60%,39.20%,21.10%,"97,080",66%,34%,$2.63 ,"$115,138,000 "
32,Nevada,NV,15.80%,"441,190",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.10%,0.00%,24.90%,26.70%,"176,810",70%,30%,$2.77 ,"$216,105,000 "
33,New Hampshire,NH,10.80%,"143,200",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",53.50%,0.00%,46.50%,15.00%,"42,170",57%,43%,$2.96 ,"$75,067,000 "
34,New Jersey,NJ,12.40%,"1,101,750",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.10%,0.00%,35.90%,18.30%,"374,350",65%,35%,$2.90 ,"$564,887,000 "
35,New Mexico,NM,17.30%,"360,920",165%,SNAP,185%,Other Nutrition Program,71.30%,5.90%,22.90%,28.30%,"145,280",76%,24%,$2.66 ,"$170,231,000 "
36,New York,NY,13.90%,"2,739,920",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.30%,0.00%,26.70%,21.90%,"938,610",69%,31%,$2.86 ,"$1,385,728,000 "
37,North Carolina,NC,18.30%,"1,801,940",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.00%,0.00%,27.00%,26.10%,"595,240",73%,27%,$2.73 ,"$870,957,000 "
38,North Dakota,ND,7.80%,"56,430",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.50%,0.00%,37.50%,10.90%,"16,780",58%,42%,$2.75 ,"$27,479,000 "
39,Ohio,OH,16.90%,"1,951,880",130%,SNAP,185%,Other Nutrition Program,54.00%,13.50%,32.50%,24.20%,"653,410",69%,31%,$2.56 ,"$885,586,000 "
40,Oklahoma,OK,17.00%,"654,640",130%,SNAP,185%,Other Nutrition Program,52.10%,16.90%,31.00%,26.00%,"242,990",69%,31%,$2.71 ,"$314,445,000 "
41,Oregon,OR,15.80%,"619,040",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.50%,0.00%,25.50%,25.90%,"223,480",69%,31%,$2.77 ,"$303,578,000 "
42,Pennsylvania,PA,14.20%,"1,808,660",160%,SNAP,185%,Other Nutrition Program,56.20%,7.60%,36.20%,20.40%,"564,440",67%,33%,$2.79 ,"$892,571,000 "
44,Rhode Island,RI,14.40%,"151,840",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.80%,0.00%,37.20%,21.70%,"47,740",71%,29%,$2.88 ,"$77,449,000 "
45,South Carolina,SC,17.10%,"814,560",130%,SNAP,185%,Other Nutrition Program,56.90%,17.50%,25.60%,25.20%,"271,560",72%,28%,$2.64 ,"$381,318,000 "
46,South Dakota,SD,12.40%,"105,120",130%,SNAP,185%,Other Nutrition Program,50.80%,14.20%,35.00%,19.60%,"40,040",65%,35%,$2.79 ,"$51,928,000 "
47,Tennessee,TN,17.10%,"1,107,820",130%,SNAP,185%,Other Nutrition Program,56.10%,17.60%,26.30%,25.40%,"379,780",74%,26%,$2.78 ,"$545,632,000 "
48,Texas,TX,17.60%,"4,653,290",165%,SNAP,185%,Other Nutrition Program,64.50%,5.50%,30.00%,27.40%,"1,899,310",70%,30%,$2.45 ,"$2,019,234,000 "
49,Utah,UT,14.60%,"423,420",130%,SNAP,185%,Other Nutrition Program,46.60%,17.30%,36.10%,20.40%,"179,130",60%,40%,$2.63 ,"$197,059,000 "
50,Vermont,VT,13.60%,"85,010",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.90%,0.00%,36.10%,19.20%,"24,330",65%,35%,$3.13 ,"$47,139,000 "
51,Virginia,VA,11.90%,"982,650",130%,SNAP,185%,Other Nutrition Program,49.40%,17.20%,33.30%,16.80%,"311,410",65%,35%,$2.92 ,"$508,665,000 "
53,Washington,WA,14.60%,"1,017,900",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.30%,0.00%,30.70%,23.10%,"366,450",65%,35%,$2.83 ,"$509,330,000 "
54,West Virginia,WV,15.80%,"292,500",130%,SNAP,185%,Other Nutrition Program,52.00%,14.20%,33.80%,23.30%,"89,880",67%,33%,$2.59 ,"$133,967,000 "
55,Wisconsin,WI,12.40%,"714,000",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.30%,0.00%,29.70%,20.40%,"270,460",67%,33%,$2.56 ,"$323,421,000 "
56,Wyoming,WY,12.80%,"74,470",130%,SNAP,185%,Other Nutrition Program,40.70%,15.40%,43.90%,18.60%,"25,420",54%,46%,$2.92 ,"$38,447,000 "
